Timestamp,Microseconds,Report_1_IAX_A,Report_1_IBX_A,Report_1_ICX_A,Report_1_VAX_V,Report_1_VBX_V,Report_1_VCX_V,Report_1_52AX,Report_1_ER,Report_1_LT08,Report_1_TRIP,Report_1_TRX
2021/02/23 04:06:51.323524,21838.602,-125.1579,647.0027,-545.1793,-197.9899,397.394,-197.9899,1,0,1,0,0
2021/02/23 04:06:51.324044,22358.569,-271.529,697.9144,-443.356,-261.6295,391.7372,-128.6934,1,0,1,0,0
2021/02/23 04:06:51.324564,22878.536,-390.3229,719.1276,-339.4113,-311.127,369.1097,-57.98275,1,0,1,0,0
2021/02/23 04:06:51.325084,23398.503,-490.025,708.521,-216.3747,-349.3107,332.3402,16.97056,1,0,1,0,0
2021/02/23 04:06:51.325604,23918.469,-593.9697,666.0946,-72.12489,-379.0092,282.8427,96.16652,1,0,1,0,0
2021/02/23 04:06:51.326124,24438.436,-670.3372,579.1204,97.58073,-395.9798,220.6173,175.3625,1,0,1,0,0
2021/02/23 04:06:51.326644,24958.403,-729.7342,483.661,256.6797,-395.9798,151.3208,243.2447,1,0,1,0,0
2021/02/23 04:06:51.327164,25478.37,-753.0687,396.6869,373.3524,-377.595,80.61017,296.9848,1,0,1,0,0
2021/02/23 04:06:51.327684,25998.336,-753.0687,292.7422,475.1758,-346.4823,5.656854,340.8255,1,0,1,0,0
2021/02/23 04:06:51.328204,26518.303,-717.0063,173.9483,564.2712,-301.2275,-72.12489,373.3524,1,0,1,0,0
2021/02/23 04:06:51.328724,27038.27,-632.1534,25.45584,627.9108,-243.2447,-151.3208,394.5656,1,0,1,0,0
2021/02/23 04:06:51.329244,27558.236,-517.6022,-137.8858,678.8225,-176.7767,-223.4457,400.2224,1,0,1,0,0
2021/02/23 04:06:51.329764,28078.203,-407.2935,-263.0437,704.2783,-106.066,-281.4285,386.0803,1,0,1,0,0
2021/02/23 04:06:51.330284,28598.17,-301.2275,-373.3524,710.6423,-32.52691,-326.6833,357.796,1,0,1,0,0
2021/02/23 04:06:51.330804,29118.137,-180.3122,-477.2971,693.6718,43.84062,-362.0387,316.7838,1,0,1,0,0
2021/02/23 04:06:51.331324,29638.103,-31.81981,-570.6352,632.1534,123.0366,-386.0803,261.6295,1,0,1,0,0
2021/02/23 04:06:51.331844,30158.07,140.0071,-651.2454,551.5433,197.9899,-397.394,196.5757,1,0,1,0,0
2021/02/23 04:06:51.332364,30678.037,282.1356,-697.9144,443.356,261.6295,-391.7372,128.6934,1,0,1,0,0
2021/02/23 04:06:51.332884,31198.004,392.4442,-710.6423,337.2899,311.127,-369.1097,56.56854,1,0,1,0,0
2021/02/23 04:06:51.333404,31717.97,502.7529,-700.0357,216.3747,349.3107,-332.3402,-18.38478,1,0,1,0,0
2021/02/23 04:06:51.333924,32237.937,593.9697,-655.488,67.88225,379.0092,-281.4285,-97.58073,1,0,1,0,0
2021/02/23 04:06:51.334444,32757.904,674.5798,-568.5139,-101.8234,395.9798,-219.2031,-176.7767,1,0,1,0,0
2021/02/23 04:06:51.334964,33277.871,733.9768,-473.0544,-250.3158,394.5656,-149.9066,-244.6589,1,0,1,0,0
2021/02/23 04:06:51.335484,33797.837,759.4327,-379.7163,-366.9884,376.1808,-79.19596,-298.399,1,0,1,0,0
2021/02/23 04:06:51.336004,34317.804,755.19,-288.4996,-477.2971,345.0681,-4.24264,-340.8255,1,0,1,0,0
2021/02/23 04:06:51.336524,34837.771,719.1276,-165.463,-560.0286,298.399,73.5391,-373.3524,1,0,1,0,0
2021/02/23 04:06:51.337044,35357.738,627.9108,-19.09188,-623.6682,240.4163,152.7351,-394.5656,1,0,1,0,0
2021/02/23 04:06:51.337564,35877.704,515.4808,135.7645,-668.2159,173.9483,224.86,-400.2224,1,0,1,0,0
2021/02/23 04:06:51.338084,36397.671,403.0509,265.165,-691.5504,103.2376,281.4285,-386.0803,1,0,1,0,0
2021/02/23 04:06:51.338603,36917.638,296.9848,373.3524,-702.157,29.69848,326.6833,-356.3818,1,0,1,0,0
2021/02/23 04:06:51.339123,37437.604,184.5549,477.2971,-687.3078,-45.25483,362.0387,-315.3696,1,0,1,0,0
2021/02/23 04:06:51.339643,37957.571,31.81981,570.6352,-632.1534,-124.4508,386.0803,-260.2153,1,0,1,0,0
2021/02/23 04:06:51.340163,38477.538,-140.0071,642.7601,-543.058,-199.4041,397.394,-195.1615,1,0,1,0,0
2021/02/23 04:06:51.340683,38997.505,-284.2569,691.5504,-439.1133,-263.0437,390.3229,-127.2792,1,0,1,0,0
2021/02/23 04:06:51.341203,39517.471,-388.2016,714.8849,-339.4113,-312.5412,367.6955,-55.15433,1,0,1,0,0
2021/02/23 04:06:51.341723,40037.438,-498.5103,702.157,-212.132,-350.7249,330.926,19.79899,1,0,1,0,0
2021/02/23 04:06:51.342243,40557.405,-585.4844,657.6093,-67.88225,-379.0092,280.0143,98.99495,1,0,1,0,0
2021/02/23 04:06:51.342763,41077.372,-666.0946,570.6352,101.8234,-395.9798,217.7889,178.1909,1,0,1,0,0
2021/02/23 04:06:51.343283,41597.338,-729.7342,475.1758,256.6797,-395.9798,149.9066,246.0732,1,0,1,0,0
2021/02/23 04:06:51.343803,42117.305,-750.9474,390.3229,373.3524,-377.595,77.78175,299.8133,1,0,1,0,0
2021/02/23 04:06:51.344323,42637.272,-753.0687,290.6209,473.0544,-345.0681,4.24264,342.2397,1,0,1,0,0
2021/02/23 04:06:51.344843,43157.239,-714.8849,169.7056,562.1499,-299.8133,-74.95332,373.3524,1,0,1,0,0
2021/02/23 04:06:51.345363,43677.205,-627.9108,14.84924,630.0321,-240.4163,-154.1493,394.5656,1,0,1,0,0
2021/02/23 04:06:51.345883,44197.172,-511.2382,-131.5219,674.5798,-173.9483,-224.86,400.2224,1,0,1,0,0
2021/02/23 04:06:51.346403,44717.139,-398.8082,-256.6797,700.0357,-103.2376,-281.4285,386.0803,1,0,1,0,0
2021/02/23 04:06:51.346923,45237.105,-296.9848,-369.1097,702.157,-31.1127,-326.6833,357.796,1,0,1,0,0
2021/02/23 04:06:51.347443,45757.072,-173.9483,-475.1758,691.5504,45.25483,-362.0387,315.3696,1,0,1,0,0
2021/02/23 04:06:51.347963,46277.039,-21.2132,-568.5139,632.1534,124.4508,-386.0803,258.8011,1,0,1,0,0
2021/02/23 04:06:51.348483,46797.006,144.2498,-651.2454,543.058,200.8183,-397.394,195.1615,1,0,1,0,0
2021/02/23 04:06:51.349003,47316.972,284.2569,-697.9144,441.2346,263.0437,-391.7372,125.865,1,0,1,0,0
2021/02/23 04:06:51.349523,47836.939,394.5656,-710.6423,333.0473,312.5412,-369.1097,55.15433,1,0,1,0,0
2021/02/23 04:06:51.350043,48356.906,502.7529,-693.6718,214.2534,350.7249,-330.926,-21.2132,1,0,1,0,0
2021/02/23 04:06:51.350563,48876.873,598.2123,-647.0027,70.00357,379.0092,-280.0143,-100.4092,1,0,1,0,0
2021/02/23 04:06:51.351083,49396.839,672.4586,-557.9072,-101.8234,395.9798,-216.3747,-179.6051,1,0,1,0,0
2021/02/23 04:06:51.351603,49916.806,729.7342,-468.8118,-256.6797,394.5656,-148.4924,-246.0732,1,0,1,0,0
2021/02/23 04:06:51.352123,50436.773,755.19,-381.8376,-373.3524,376.1808,-76.36753,-299.8133,1,0,1,0,0
2021/02/23 04:06:51.352643,50956.74,759.4327,-290.6209,-468.8118,343.6539,-2.828427,-342.2397,1,0,1,0,0
2021/02/23 04:06:51.353163,51476.706,717.0063,-163.3417,-564.2712,296.9848,76.36753,-374.7666,1,0,1,0,0
2021/02/23 04:06:51.353683,51996.673,630.0321,-14.84924,-627.9108,239.0021,155.5635,-395.9798,1,0,1,0,0
2021/02/23 04:06:51.354202,52516.64,515.4808,142.1285,-670.3372,172.5341,226.2742,-400.2224,1,0,1,0,0
2021/02/23 04:06:51.354722,53036.607,398.8082,267.2863,-693.6718,101.8234,282.8427,-384.6661,1,0,1,0,0
2021/02/23 04:06:51.355242,53556.573,296.9848,377.595,-700.0357,28.28427,328.0975,-356.3818,1,0,1,0,0
