Timestamp,Microseconds,Report_1_IA,Report_1_IB,Report_1_IC,Report_1_VA_kV,Report_1_VB_kV,Report_1_VC_kV
2019/07/12 13:20:45.601062,7420.638,-9.784944,6.973487,-2.917522,-7.099352,11.11148,-4.020609
2019/07/12 13:20:45.601192,7550.825,-9.200873,6.921161,-3.129655,-7.544829,11.0139,-3.474723
2019/07/12 13:20:45.601323,7681.011,-9.067938,6.363961,-2.545584,-8.042632,10.85692,-2.824184
2019/07/12 13:20:45.601453,7811.198,-8.167084,6.204155,-2.466388,-8.476796,10.6363,-2.169404
2019/07/12 13:20:45.601583,7941.385,-7.185619,6.416287,-3.129655,-8.772367,10.38881,-1.630588
2019/07/12 13:20:45.601713,8071.571,-7.079553,6.602963,-3.261176,-9.025511,10.12577,-1.105915
2019/07/12 13:20:45.601843,8201.758,-7.822015,7.264815,-3.394113,-9.34088,9.862725,-0.5062885
2019/07/12 13:20:45.601973,8331.944,-8.749739,7.981821,-3.235721,-9.684534,9.608167,0.08768124
2019/07/12 13:20:45.602104,8462.131,-9.121677,8.618217,-3.288047,-9.964549,9.370579,0.5868986
2019/07/12 13:20:45.602234,8592.318,-8.830349,8.855805,-3.845247,-10.13284,9.147133,0.9857069
2019/07/12 13:20:45.602364,8722.504,-8.909546,8.379215,-4.057379,-10.25446,8.889746,1.384515
2019/07/12 13:20:45.602494,8852.691,-9.306939,7.503818,-3.367243,-10.42134,8.537607,1.897875
2019/07/12 13:20:45.602624,8982.878,-10.6858,5.436237,-0.6363961,-10.65751,8.068089,2.582354
2019/07/12 13:20:45.602755,9113.064,-11.66726,4.24264,1.06066,-10.90076,7.580185,3.300775
2019/07/12 13:20:45.602885,9243.251,-12.03779,3.951313,1.61786,-11.08036,7.172891,3.890501
2019/07/12 13:20:45.603015,9373.438,-11.13693,4.508512,0.1583919,-11.18643,6.826409,4.350121
2019/07/12 13:20:45.603145,9503.624,-9.652007,4.7461,-1.961514,-11.23451,6.481341,4.741858
2019/07/12 13:20:45.603275,9633.811,-8.140213,3.872117,-2.67852,-11.2628,6.076876,5.160465
2019/07/12 13:20:45.603405,9763.998,-6.894291,2.360322,-2.06758,-11.2628,5.597457,5.634227
2019/07/12 13:20:45.603536,9894.184,-6.496897,0.3719382,-0.3450681,-11.23451,5.07137,6.143343
2019/07/12 13:20:45.603666,10024.371,-6.390831,-0.5303301,0.7424621,-11.19633,4.570738,6.607205
2019/07/12 13:20:45.603796,10154.557,-6.628418,-0.50346,0.821658,-11.144,4.11819,6.996114
2019/07/12 13:20:45.603926,10284.744,-6.178699,-0.4511341,0.6363961,-11.05066,3.620387,7.397751
2019/07/12 13:20:45.604056,10414.931,-5.436237,-1.245922,0.5840701,-10.88379,2.991062,7.863027
2019/07/12 13:20:45.604187,10545.117,-4.427903,-1.351988,0.6632662,-10.666,2.336281,8.312747
2019/07/12 13:20:45.604317,10675.304,-4.109704,-1.139856,0.1329361,-10.43407,1.786152,8.629531
2019/07/12 13:20:45.604447,10805.491,-4.190315,-0.7962022,0.212132,-10.19082,1.271378,8.895403
2019/07/12 13:20:45.604577,10935.677,-4.481643,-0.9277241,1.139856,-9.926365,0.6802367,9.231986
2019/07/12 13:20:45.604707,11065.864,-5.276431,-0.7693322,1.936058,-9.670392,0.06363961,9.602509
2019/07/12 13:20:45.604838,11196.051,-5.754435,-0.9277241,2.200516,-9.434218,-0.4737616,9.906566
2019/07/12 13:20:45.604968,11326.237,-6.363961,-0.609526,2.042124,-9.200873,-0.9093393,10.11304
2019/07/12 13:20:45.605098,11456.424,-6.576093,-0.212132,1.961514,-8.9548,-1.315219,10.27567
2019/07/12 13:20:45.605228,11586.61,-6.496897,-1.008334,1.882318,-8.64933,-1.803122,10.45245
2019/07/12 13:20:45.605358,11716.797,-5.250975,-3.261176,2.62478,-8.219409,-2.456489,10.6759
2019/07/12 13:20:45.605488,11846.984,-3.712311,-5.594629,3.420982,-7.704635,-3.217336,10.9248
2019/07/12 13:20:45.605619,11977.17,-3.447853,-6.655289,3.712311,-7.235116,-3.880602,11.12703
2019/07/12 13:20:45.605749,12107.357,-3.606245,-6.018893,3.208851,-6.849036,-4.38689,11.24583
2019/07/12 13:20:45.605879,12237.544,-4.481643,-3.659985,1.351988,-6.494069,-4.784284,11.27552
2019/07/12 13:20:45.606009,12367.73,-4.826711,-1.882318,-0.50346,-6.123545,-5.137837,11.25997
2019/07/12 13:20:45.606139,12497.917,-3.235721,-1.378858,-1.936058,-5.69221,-5.543717,11.24017
2019/07/12 13:20:45.606270,12628.104,-1.08753,-2.757716,-1.988384,-5.192992,-6.018893,11.2232
2019/07/12 13:20:45.606400,12758.29,-0.02687006,-4.454773,-1.829992,-4.703674,-6.484169,11.1935
2019/07/12 13:20:45.606530,12888.477,0.2658722,-4.932777,-1.378858,-4.268096,-6.874492,11.14542
2019/07/12 13:20:45.606660,13018.664,0.3719382,-4.7461,-1.351988,-3.807063,-7.253501,11.06339
2019/07/12 13:20:45.606790,13148.85,1.112986,-4.852167,-1.61786,-3.217336,-7.717363,10.93187
2019/07/12 13:20:45.606921,13279.037,1.882318,-4.508512,-2.200516,-2.559726,-8.203853,10.76075
2019/07/12 13:20:45.607051,13409.223,1.61786,-3.712311,-2.518714,-1.98697,-8.563063,10.55993
2019/07/12 13:20:45.607181,13539.41,1.08753,-3.261176,-2.12132,-1.491995,-8.821864,10.328
2019/07/12 13:20:45.607311,13669.597,1.272792,-3.527049,-1.511794,-0.9503515,-9.124506,10.07344
2019/07/12 13:20:45.607441,13799.783,1.829992,-4.587708,-0.9814642,-0.3210265,-9.506344,9.817471
2019/07/12 13:20:45.607571,13929.97,2.306582,-5.330171,-0.4511341,0.2884996,-9.849998,9.568568
2019/07/12 13:20:45.607702,14060.157,1.803122,-5.885957,0.05374011,0.7792317,-10.07344,9.318254
2019/07/12 13:20:45.607832,14190.343,1.299662,-5.673825,0.1583919,1.175211,-10.22052,9.060866
2019/07/12 13:20:45.607962,14320.53,1.06066,-5.779891,-0.212132,1.602304,-10.37891,8.772367
2019/07/12 13:20:45.608092,14450.717,2.281126,-6.496897,-1.219052,2.182132,-10.58115,8.400429
2019/07/12 13:20:45.608222,14580.903,5.118039,-7.901211,-2.996718,2.916108,-10.81449,7.916768
2019/07/12 13:20:45.608353,14711.09,6.416287,-8.697413,-4.21577,3.616144,-11.01107,7.421793
2019/07/12 13:20:45.608483,14841.276,6.443157,-8.697413,-4.693775,4.14506,-11.12845,7.0046
2019/07/12 13:20:45.608613,14971.463,4.427903,-7.424621,-3.872117,4.532554,-11.17794,6.648218
2019/07/12 13:20:45.608743,15101.65,2.254256,-5.966567,-3.394113,4.867723,-11.19067,6.317292
2019/07/12 13:20:45.608873,15231.836,1.299662,-4.613165,-4.269511,5.25946,-11.19916,5.941112
2019/07/12 13:20:45.609004,15362.023,2.360322,-3.951313,-5.885957,5.726151,-11.21754,5.499876
2019/07/12 13:20:45.609134,15492.21,4.375577,-3.897573,-7.875755,6.218297,-11.22037,5.000659
2019/07/12 13:20:45.609264,15622.396,5.436237,-4.427903,-8.591347,6.666603,-11.18077,4.511341
2019/07/12 13:20:45.609394,15752.583,5.436237,-4.057379,-8.936415,7.062582,-11.11006,4.046065
2019/07/12 13:20:45.609524,15882.77,4.613165,-3.659985,-8.591347,7.478361,-11.00258,3.515735
2019/07/12 13:20:45.609654,16012.956,4.427903,-3.15511,-9.148547,7.962022,-10.83853,2.85954
2019/07/12 13:20:45.609785,16143.143,4.163445,-2.65165,-9.121677,8.415985,-10.62357,2.189203
